id tweet,date,text,lang,app,author,id author,name,description,location,created at,author url,description urls,profile image url,followers,following,tweets,relation,user retweeted,tweet hashtags,tweet urls,media keys,id tweet retweeted,media types,media urls,retrieved at
1582751577873731584,2022-10-19 15:12:36,"RT @BuddhaSeeds: Estés donde estés, que sea siempre en buena compañía 😋🥰#BuddhaSeeds #CannabisCommunity #FelizMiércoles https://t.co/OjR3NwnKjo",es,Twitter Web App,Weedcodm11,1536749181171384323,Feet rt,,None,2022-06-14 16:35:57,None,None,https://pbs.twimg.com/profile_images/1581754533847375872/hmJbumax_normal.jpg,113,128,949,retweeted,BuddhaSeeds,"['BuddhaSeeds', 'CannabisCommunity', 'FelizMiércoles']",['https://twitter.com/BuddhaSeeds/status/1582718249086910465/photo/1'],['3_1582718129611972609'],1582718249086910465,[],[],2022-10-19 15:15:40
1582751573192892418,2022-10-19 15:12:35,RT @SaulGtrauma: ¡Buenos días! #FelizMiercoles https://t.co/t1dGHbnAXx,es,Twitter for Android,Romy_bellaa,1553966096381870081,Romy 🙂,Amooo todo lo que me rodea ❤️,México,2022-08-01 04:54:19,None,None,https://pbs.twimg.com/profile_images/1553967899177619456/P7QBJvp-_normal.jpg,391,341,1076,retweeted,SaulGtrauma,['FelizMiercoles'],['https://twitter.com/SaulGtrauma/status/1582725787446169601/photo/1'],['3_1582725785089183745'],1582725787446169601,['photo'],['https://pbs.twimg.com/media/Ffb4t0UXkAEQi0H.jpg'],2022-10-19 15:15:40
1582751560442216449,2022-10-19 15:12:32,RT @yosoysexmex: #Estreno de hoy #Miercoles en #SEXMEX con: @HaideUnique y @lucyandominus   a Haidé le encanta que su amo Lucyan se la lleve al cuarto rojo y le practique el sexo salvajemente.  https://t.co/8tX8LnUYU0  #YosoySexmex  #FelizMiercoles https://t.co/0WIWeQuXUT,es,Twitter for Android,Santos94301920,1250276982824136708,Santos,,None,2020-04-15 04:17:37,None,None,https://pbs.twimg.com/profile_images/1316880401256898560/G7-0VkNh_normal.jpg,175,1583,22839,retweeted,yosoysexmex,"['Estreno', 'Miercoles', 'SEXMEX', 'YosoySexmex', 'FelizMiercoles']","['http://SEXMEX.XXX', 'https://twitter.com/yosoysexmex/status/1582750296014344192/video/1']",['7_1582749652461436928'],1582750296014344192,['video'],['https://pbs.twimg.com/ext_tw_video_thumb/1582749652461436928/pu/img/h3cqFNeLVn2ZCBZf.jpg'],2022-10-19 15:15:40
1582751546181267456,2022-10-19 15:12:29,RT @INAMEH: #19Oct #INAMEHInforma Condiciones Meteorológicas próximas 24 Horas #FelizMiércoles https://t.co/PdSP68Hn5K,es,Twitter for Android,juanalab24,1529271094556905472,@juanalab24,+esencia-apariencia=diferecia,None,2022-05-25 01:21:31,None,None,https://pbs.twimg.com/profile_images/1536049934624903168/vqv7Jj9u_normal.jpg,72,59,33065,retweeted,INAMEH,"['19Oct', 'INAMEHInforma', 'FelizMiércoles']",['https://twitter.com/INAMEH/status/1582673380162998272/video/1'],['7_1582673298101616640'],1582673380162998272,['video'],['https://pbs.twimg.com/ext_tw_video_thumb/1582673298101616640/pu/img/0Kbj-c46OkDf-HgQ.jpg'],2022-10-19 15:15:40
1582751545552097280,2022-10-19 15:12:29,"RT @FerVilchisMx: #Madrugadores | Sin importar el día, nuestros uniformados de la👮‍♀️ @DSPyTEcatepec están siempre listos 🫡 para defender la integridad y patrimonio de las familias de este gran municipio. Esta madrugada de #FelizMiércoles, presentaron su ya tradicional parte de novedades. https://t.co/bNZOteG8b0",es,Twitter for Android,Montero68502646,1341165676870967297,Montero,,None,2020-12-21 23:36:42,None,None,https://pbs.twimg.com/profile_images/1341166234830835716/lkqOkNyD_normal.jpg,25,28,3440,retweeted,FerVilchisMx,"['Madrugadores', 'FelizMiércoles']","['https://twitter.com/FerVilchisMx/status/1582750951047254017/photo/1', 'https://twitter.com/FerVilchisMx/status/1582750951047254017/photo/1', 'https://twitter.com/FerVilchisMx/status/1582750951047254017/photo/1']","['3_1582750936530751488', '3_1582750942956429314', '3_1582750948740386817']",1582750951047254017,"['photo', 'photo', 'photo']","['https://pbs.twimg.com/media/FfcPl0vVEAACd4K.jpg', 'https://pbs.twimg.com/media/FfcPmMrVIAI0d6_.jpg', 'https://pbs.twimg.com/media/FfcPmiOVUAE-0AL.jpg']",2022-10-19 15:15:40
1582751541043245056,2022-10-19 15:12:28,#FelizMiércoles #Leo ♌ #HoróscopoSemanal  #amor ❤   👀👇👇 https://t.co/tNjoervPqh,und,El Horóscopo del Zodíaco,elhoroscopodel1,1332068017551896576,elhoroscopodelzodiaco,"Web y App de El Horóscopo del Zodíaco. Con inéditas curiosidades y predicciones. Descarga gratis la App 👉 https://t.co/qGK78YmSZB, consulta 👀 https://t.co/dWUNaaqHM7",Barcelona,2020-11-26 21:05:51,['https://elhoroscopodelzodiaco.com/'],"['http://bit.ly/37aPWNk', 'http://elhoroscopodelzodiaco.com']",https://pbs.twimg.com/profile_images/1403998685768392707/MsVCHJEK_normal.jpg,656,187,35685,tweet,None,"['FelizMiércoles', 'Leo', 'HoróscopoSemanal', 'amor']",['https://elhoroscopodelzodiaco.com/leo-horoscopo-amor-semana/'],[],,[],[],2022-10-19 15:15:40
1582751517412818944,2022-10-19 15:12:22,RT @INAMEH: #19Oct #INAMEHInforma Precipitaciones Totales Estimadas #FelizMiércoles. https://t.co/Cm60DBnJIE,es,Twitter for Android,Diomelisperdom1,1555218400422633473,Diomelis perdomo,,None,2022-08-04 15:46:01,None,None,https://pbs.twimg.com/profile_images/1555218803809738756/QQmmZyMN_normal.jpg,126,285,1458,retweeted,INAMEH,"['19Oct', 'INAMEHInforma', 'FelizMiércoles']",['https://twitter.com/INAMEH/status/1582653023893217280/photo/1'],['3_1582653000329330688'],1582653023893217280,['photo'],['https://pbs.twimg.com/media/Ffa2hL9WAAADxjx.jpg'],2022-10-19 15:15:40
1582751516498178049,2022-10-19 15:12:22,RT @Noticierista: Que sea un #FelizMiercoles y recuerde pasarla ¡De lo mejor! ✅🎙,es,Twitter for iPhone,noticieristas,1410104462522392577,Los Noticieristas,Te presentamos lo más trascendente de Sinaloa y el mundo. Periodismo objetivo y con punto de vista ciudadano. #ObservandoEnVivo 🔴,"Culiacán, Sinaloa",2021-06-30 05:16:05,['http://www.losnoticieristas.com'],None,https://pbs.twimg.com/profile_images/1439016430784196613/VFjGayhv_normal.jpg,7982,13,27294,retweeted,Noticierista,['FelizMiercoles'],None,[],1582722830231224321,[],[],2022-10-19 15:15:40
1582751510110556166,2022-10-19 15:12:20,RT @macapumu4384: Buenos días... #FelizMiercoles https://t.co/3YdWWFbzKd,es,Twitter for Android,Alejand79708612,884815561850486784,Alejandro 🇪🇨♋,"Dale a tus seres queridos alas para volar, raíces para volver y razones para quedarse. Dalai Lama","Quito, Ecuador",2017-07-11 16:44:03,None,None,https://pbs.twimg.com/profile_images/1421683724807294977/pTdC2CPI_normal.jpg,1096,3965,53761,retweeted,macapumu4384,['FelizMiercoles'],['https://twitter.com/macapumu4384/status/1582634746026536961/photo/1'],['3_1582634743555833856'],1582634746026536961,['photo'],['https://pbs.twimg.com/media/Ffal6gLWQAAmU4V.jpg'],2022-10-19 15:15:40
1582751488916398080,2022-10-19 15:12:15,RT @nydiacervera: #FelizMiércoles @GinaGllgina1 @EYACAR65 @mtz_tt @akyoshi09 @CasLaaU @duky1107 @lasaguis @DaliaMRocha @Froggieland @Ariadnaarcinie6 @JohannaLizalde @PatyZavalat @rumabo1 @Negra_start @HELA_MORE @Marvinel3 @IsabelYsita @criswire282 @raquelgarzac @HuesitosDF @LETICIA777 @Janinah18 https://t.co/Js35bQ5qSZ,qme,Twitter for iPhone,mamiblue2015,2371857025,mamiblue🐶🦊🇲🇽,"Cada vida es preciosa,corazón animalero, me gustan los perros 🐶 doy RT a animalitos perdidos y adopciones.Odio la injusticia en todas sus formas",CDMX MÉXICO ,2014-03-04 12:35:34,None,None,https://pbs.twimg.com/profile_images/1518922337873063937/bHUkQPSv_normal.jpg,2063,3496,140062,retweeted,nydiacervera,['FelizMiércoles'],['https://twitter.com/nydiacervera/status/1582726752790491136/photo/1'],['3_1582726750571724800'],1582726752790491136,[],[],2022-10-19 15:15:40
